,text,sentiment,sentimentclass
131,whitehous republican profit follow treator face problem usa alon without httpstco8eigpj8qmn,0.0,Neutral
132,trumpkingofthe1 acyn gop protect playbook 1 put barr justiceex bush war crimin atti 2 say quid pro quo,0.0,Neutral
133,billmah would give sex peopl rest life guarante httpstcowgnyatcxlh,0.0,Neutral
134,andyostroy that damn good thing el think elect probabl 2020,0.75,Positive
135,cnn cant wait 2 find realli trumpsupport scare hell 2 go trash httpstcopwakyp6yp,0.0,Neutral
136,thomas_drake1 realitywinn turn crimin admin sig espionag case blow whistl 16 elect interfer kept,0.8,Positive
137,voiceofresista1 tel tamir front sdf fighter say turkish armi russian armi american armi syrian armi,0.0,Neutral
138,april_hamon topinfoblog speakerpelosi repadamschiff start fuss got httpstcothlfxpluj9,0.0,Neutral
139,isis announc new leader mean accept death baghdadi baghdadi idlip,-0.08806818181818182,Negative
140,jordabella rmlewellen kellyannepol like perfect phone call extort ukrain bebest,1.0,Positive
141,goodby httpstco6ifn0faxrw congress vote impeach thank lord httpstcolb7kchxhp6,0.0,Neutral
142,mayawiley shouldnt make fun anyon struggl technolog problem qualif natl secur thin,-0.05000000000000002,Negative
143,essenview abl get away extort ukrain steal anoth electio httpstco6njrmciptw,0.0,Neutral
144,doubl lie lbc nice nigelfarag brexitriot brexitday brexit impeachdonaldtrumpnow httpstcodcdye2oqsc,0.6,Positive
145,ariadneboudicca rudygiuliani need appl geniu help unlock iphon name cybersecur advis call,0.0,Neutral
146,adamschiff empower act httpstcoj3fua1hgkt gtengin railroad impeachmentinquiri httpstcooyqxw6cmku,0.0,Neutral
147,move step closer impeach fabul christma present would trumpisacrimin httpstcow9jjpx224b,0.0,Neutral
148,magalovedavid_in_dalla happen kidsthey r tryin mandat vaccin r bein httpstcogwtjmf0zrh,0.0,Neutral
149,bmartin1776 circu go right bc lazi voter sat home midterm electionswho chose give de,0.2857142857142857,Positive
150,ejdionn fact numer cabinet offici corrupt scheme well placin,-0.5,Negative
151,atrupar mayb goplead taken time prepar statement instead c httpstcoumeldsqp9r,0.0,Neutral
152,chatbycc transcript make clear guilti attempt interfer upcom httpstco0aytzbrra1,0.10000000000000002,Positive
153,mog7546 morrison top russia europ advis nsc expect corrobor testimoni diplomat last,0.25,Positive
154,thursdaythought thursdaymorn trumpwarroom fair process open process httpstcof1dq5voy,0.35,Positive
155,sometim look what trend understand johnson morrison got vote httpstcos61yozdicd,0.0,Neutral
156,angelabelcamino aoc trust aoc isnt own anybodi especi,0.6,Positive
157,attack joe biden turn littl red ride hoodgop thedemocrat httpstcoc2ivdsvctg,0.0,Neutral
158,slmhktn_eng isis announc new leader mean accept death baghdadi baghdadi idlip,-0.08806818181818182,Negative
159,w7voa whitehous potu stupid slam yet ignor possibl read httpstco8yuhq4kpdz,-0.7999999999999999,Negative
160,2big2fail send russia httpstcowipqo3mljv,0.0,Neutral
161,t183rdehlook see name cast shadow famelet known today hocu pocu name httpstcoistesdomj,0.0,Neutral
162,stevescalis sovietstyl procedur realli soviet process idioci httpstcocfkdm5cmw,0.0,Neutral
163,mytrumpland repgabbard hrc legaci focu record maga legaci peopl care save breath,0.0,Neutral
164,boy cri wolf everi chanc got httpstcoe3gjacgwv0 nra kag2020 covfef,0.0,Neutral
165,growth slow 19 economi fall short targetbias fakenew npr downplay stro httpstcoykv9ut7ugj,-0.15000000000000002,Negative
166,hey greatest witch hunt halloween couldnt time better httpstco15lapbyzkd,0.75,Positive
167,vjkutz lizcheney_wi wrong potu crimin support crime mount evid wil,-0.5,Negative
168,ndtv breakingnew formal process landmark news agenc afp httpstcofbzw6mr9q,0.0,Neutral
169,true scene dark noon favorit part book koestler realli captur httpstcocn1vg98tm,0.09999999999999999,Positive
170,hilari hilarityensu farag coupleofcretin httpstcocyufrsdaua,0.0,Neutral
171,dearauntcrabbi dare lectur american joenbc put maga bullshit everi damn day locker,0.0,Neutral
172,church143 dark_red_hair listen dark red hair noth done made chang busi usual stand unit,-0.13333333333333333,Negative
173,minggao26 tbbrame pcmag protect 2020elect,0.0,Neutral
174,love good festiv witch hunt halloween happyhalloween witchhunt impeachandremov httpstcorz9p4e5jrt,0.6,Positive
175,break impeachmentvot pas inquiri move httpstcojrthl91xum via youtub,0.0,Neutral
176,ananavarro offspr actual work live also dont drug screw dead brother wif httpstcoa2eqcld7xr,-0.02121212121212122,Negative
177,potu thursdaythought thursdaymotiv whitehous plea cleanup chang donaldtrump httpstcoij8bchoelz,0.0,Neutral
178,donaldjtrumpjr your idiot incom dad busi scam realli blind tha httpstcodxoi0umfnd,-0.65,Negative
179,transatlant allianc increasingli nonatlant world eu brexit httpstcozq8l8lyhqa httpstcobpxgrpuxqd,0.0,Neutral
180,andyostroy let perfectli clear repub want identifi whistleblow find info,0.10000000000000002,Positive
181,thenewsbadg plea answer poll work larg sampl size would great watch,0.8,Positive
182,beat hillari primari aint sayin much beat hildebeast quit handili justsay kag httpstcoterr108lyz,0.2,Positive
183,corrupt polit start never seen,-0.5,Negative
184,kimguilfoyl inquiri inquisit 2020,0.0,Neutral
185,let clear surpris senat control republican vote pattern would httpstcosxsntcwgoz,0.10000000000000002,Positive
186,timcolicchio gop foxnew viewer plea tri understand damag done classic gop parti valu fiscal c,0.16666666666666666,Positive
187,williamfreimuth essenview abl get away extort ukrain steal anoth elect,0.8,Positive
188,dickyspark jimmfelton realdavedoubleu listen duffer wast energi mani level farag,0.0,Neutral
189,h8wankmaggot45 donat provid idiot basic english educ must come somewher el httpstcoojpbozdh02,-0.26666666666666666,Negative
190,fact numer cabinet offici corrupt scheme well httpstco2otmpjjz4u,-0.5,Negative
191,polit leader today realli get amongst live cocoon bubbl real world exposur limit httpstcoprp9ssckvd,0.16818181818181818,Positive
192,formal process landmark httpstco93dtkreko9,0.0,Neutral
193,jasminegolden_ hard time believ epstein murder first tri commit suicid two week prior second,-0.010416666666666671,Negative
194,tweet fake photo hero dog get medal httpstco1ed9bk5ui httpstco2r2pypbeo1,-0.5,Negative
195,fantast episod majorityfm go right stick liber medium ryangrim maga httpstcourmltdnbdh,0.2857142857142857,Positive
196,your distract wake admin expect roll back regul limit emiss dangero httpstcoatxty212cq,0.0,Neutral
197,dcory2020 day 2019 today politico report reward sencorygardn thomtilli senjoniernst th,0.0,Neutral
198,read donald read edit worst part even without prove httpstcoc5ag1h4njx,-1.0,Negative
199,excit share latest addit etsi shop stabl geniu dumb thing say cotton tshirt httpstco5vivi0znta,0.0625,Positive
200,break vote along parti line approv sham resolut two dem measur httpstcoibi08h2egq,-0.2,Negative
201,collinpeterson appar work hard protect housevot,-0.2916666666666667,Negative
202,formalis process landmark httpstcoutvvzdjwc0,0.0,Neutral
203,analys trumpworld visualis ownership relat busi network rstat networkanalysi httpstcozdstwjlgbn,0.0,Neutral
204,andyostroy never trumper wit decor war hero purpl heart serv countri honora,0.0,Neutral
205,complaint witchhunt halloween ironi httpstcoctr2lcxkj1,-0.3,Negative
206,post fake photo read report httpstcol9elfqqnzq isi baghdadi httpstcocbg1jauxkl,-0.5,Negative
207,civil insurrect fool lol go ball game put jail fool httpstcomjmb5tjpsq,0.10000000000000002,Positive
208,today brought world number one traitor justic sick deprav man httpstco9zvjoxdfeo,-0.7142857142857143,Negative
209,newcounterpoint potu give much credit let hear thought cartoon deadder dont forget,0.2,Positive
210,scari thought halloweenthink democraci would taken back httpstcoyfiati3who,0.0,Neutral
211,ravmabay happyhalloween dont forget must boo thursdaythought impeachmentvot,0.0,Neutral
212,kanye51891122 cant win first biden critic celebr nation cat day nation dog day say lot abou,0.525,Positive
213,scoop via washingtonpost ericawern jdawsey1 jstein_wapo want new taxcut presidenti httpstcolrronflxsj,0.13636363636363635,Positive
214,economictim pas resolut lay formal rule probe httpstcolehom0gsdu httpstc,0.0,Neutral
215,frankbullit67 demonstr geniu move made sinc cannot bomb sanctuari turkey nato memb,0.0,Neutral
216,theiddm dungeonsdonald best parodyaccount,1.0,Positive
217,one new poll number suggest base isnt crack httpstcosiipkr2f7d,-0.33181818181818185,Negative
218,former ny med examin epstein murder point evid justiceforkatiejohnson jeffreyepstein httpstcorqah7prypa,0.0,Neutral
219,kevin mccarthi dumb donald forgot get bj impeachdonaldtrumpnow gopcomplicit youmad magamoron httpstcoeoxojpocmt,-0.375,Negative
220,dashboard trickortreat httpstcot4tkbsbukx,0.0,Neutral
221,mayawiley opportun mount defens trial assert 5th amend right silent n,0.14285714285714285,Positive
222,must watch absolut hilar obama httpstcoewu74huxop,0.0,Neutral
223,claim cant conflict interest even back host g7 hotel echo httpstcoz33dp2grko,0.0,Neutral
224,boston lobbyist larri raski kick gear pal joe biden flip super pac support httpstcoujd2ehetgh,0.3333333333333333,Positive
225,reaganremn thank judg andrew napolitano proof impeach offens plain see judgenap foxnew,-0.21428571428571427,Negative
226,tribulationth dem lie abound lie schiff star wit alexand vindman tie ukrainian arm dealer ukrainian oil g,0.0,Neutral
227,andyostroy jeez stevescalisehow look lie weak feckless cowardli asskiss face mirror everi day trum,-0.375,Negative
228,river_lover4 still dont believ govern mockingbird msm organ implement coup remov,0.0,Neutral
229,libertytarian surpris impeachmentinquiri rule pelosi fix w rule today rule,0.0,Neutral
230,singl biggest threat right public opinion publicopinion httpstcopuqidemgt,0.14285714285714285,Positive
231,calideplor chosen born bless time fight america potu readi fight light,0.4,Positive
232,lyndabloom b52malmet whereistheimpeachtruck impeachmenttaskforc plea find truck everi usa citi visit,0.0,Neutral
233,hey gop got ask come impeachtrumppencebarrpompeo moscowmitch httpstcodpcruxerjc,0.0,Neutral
234,zeusfanhous gop rep file ethic complaint schiff process distort call w ukrainian pre z,-0.3,Negative
235,cm_merlin sesamestreet traitortrump fakepresid sesam street mock sinc 1988 b,0.0,Neutral
236,oil oott wti say new locat sign phase one uschina trade deal announc soon httpstcokqmvhh2rnf,0.13636363636363635,Positive
237,vote today destroy constitut effort impeach,-0.2,Negative
238,rt_com background die like dog like coward describ graphic death isi leader albaghdadi read http,0.0,Neutral
239,oh extrump advis arriv testifi inquiri httpstcohiaigkbvi2,0.0,Neutral
240,vote formalis inquiri bbc news httpstco9ui1gyefq,0.0,Neutral
241,tribulationth one whistl blower realli realclear investig suggest whistleblow like 33yearo,0.0,Neutral
242,inquirycsa fbi uklabour potu hrw coe rt_com tommysheppard rt_com show side saw long time ago httpstcol7zvcx2ywk,-0.05,Negative
243,impeachmentvot pre becom offici bring httpstco22xlnkmgdi,0.0,Neutral
244,hell magabolndes2020 kag2020 httpstcocqi5qsatf8,0.0,Neutral
245,rutherfordrock hey gang your gonna believ jeffreyepstein may kill oh also gymjordan may hav,0.0,Neutral
246,citizensar stevebannon inquiri war room presid mindset program listen siriusxm warr,0.0,Neutral
247,trumped_in_2020 amymek potu candaceowen oann foxnew donald j 2020 obama,0.0,Neutral
248,markpusbucket guess quit smoke today maga trump2020 httpstcoivchevgw8d,0.0,Neutral
249,steven_pif administr polici seek derogatori inform foreign govern possibl 2020 elect opp,0.3375,Positive
250,ah ye evil scheme devi 2020elect httpstcoiwwpmkocsx,-1.0,Negative
251,ivankatrump countri 2019 httpstcotx2jfeopbz,0.0,Neutral
252,emolclaus ivankatrump sadli unlik thoma jefferson everi word fall lip l,0.0,Neutral
253,repost donaldtrump_2020 thank maga kag usa donaldtrump trump2020 republican httpstcogmvzm1w71,0.0,Neutral
254,real923la let clear dont care dress support wea httpstco3bd4icvwqm,0.10000000000000002,Positive
255,888_shawn ap could u imagin r allow impeach would mean everi presid come im,-0.3125,Negative
256,dcreportmedia even victori graceless boor httpstcokr0as5md2w albaghdadi,0.0,Neutral
257,proceed call orang crush impeachmentinquiri impeachtrump,0.0,Neutral
258,best peopl httpstco3rvwismdz0,1.0,Positive
259,state 4 vote author next stage inquiri fierc object 3 httpstcos9x6qhnrbu,0.0,Neutral
260,guy ya gonna accept fox harri arent root team httpstcoe9nkkukg8r,0.0,Neutral
261,lie cheat much republican leader medium sane peopl kid live lie un ap aclu,0.16818181818181818,Positive
262,freepressokc repkendrahorn favor process httpstcorjnukys9sw http,0.0,Neutral
263,school princip fire say cant say holocaust factual event httpstco3eubjjgdvw httpstcoutbrz7pbmn,0.0,Neutral
264,noobstruct day 45 uniti ride molonlab 159 fb 4 r aliatra1968 jmccollum06 argelio_leon redreal james7303 r,0.0,Neutral
265,even victori graceless boor httpstcokr0as5md2w albaghdadi,0.0,Neutral
266,lie lie lie fiction get dramat time httpstco7amleufbba benladen httpstcoak0clhrbxr,0.0,Neutral
267,recent tweet 2 hour ago period,0.0,Neutral
268,acyn gop protect playbook 1 put barr justiceex bush war crimin atti 2 say quid pro qu httpstcoxnsvksw45x,0.0,Neutral
269,timand2037 militari arriv hasaka region steal syrian oil militari vehicl arriv ne syria partial withdra,-0.1,Negative
270,afbranco af branco cartoon theresist httpstcoifmvjjpjc8 albaghdadi baghdadi isisleaderdead httpstcopd6erd,0.0,Neutral
271,basebal enlighten write dancubia mlb httpstcom4wwifn1lq,0.0,Neutral
272,rbnewsman problem pelosi schumer thesquad problem liber conserv maga ar,0.0,Neutral
273,independentxgop thank justinamash sad need remindedshamefullyin era corrupt welcomedena,-0.5,Negative
274,pollsofpolit think beat win senat hold 3 2020electio,0.8,Positive
275,rememb billclinton came lot closer deserv fat ladi isnt sing httpstcot3pwpu3emd,0.0,Neutral
276,trumptweets2020 congratul washington nation win staff said dont tri take creditbut fact fact,0.8,Positive
277,wait apprenticepresid email among list httpstcotirxzzvz7i,0.0,Neutral
278,jimmfelton realdavedoubleu listen duffer wast energi mani level farag,0.0,Neutral
279,manchin say wouldnt back sander presidenti race httpstcokbyhhdbeha thursdaythought httpstco3jzmzwa0h4,0.0,Neutral
280,river_lover4 shiftyschiff stop whistleblow ltcol vindman answer share highli classifi transcript,0.0,Neutral
281,corrupt end offer million senat ernst gardner tillisdid hear someon say brib httpstcockznaehbvw,-0.5,Negative
282,svenskaflicka29 kgkathryn gaetz drug,0.0,Neutral
283,realli goplead kevinomccarthi serious dont think countri alreadi divid httpstcomaqo0rkwcl,-0.3333333333333333,Negative
284,jonflan one want job bad lose soul career digniti possibl famili httpstcowd0xq73080,-0.6999999999999998,Negative
285,phillipmbailey mattbevin louwestend campaign event secretarycarson im told medium isnt allow insi,0.0,Neutral
286,wionew newsalert usa congress formal open new public phase corrupt investig donald trumpimpea,-0.09090909090909091,Negative
287,sewwutnow hate anti ppl countri tomhank wandasyk stephencolbert woodyallen barackoba,-0.8,Negative
288,effort pas first test split congress httpstcon0bfntk3d9,0.25,Positive
289,barbsmithdavi count bless dem took back otherwis would still dark crime bc,-0.075,Negative
290,siwel17j36cf break impeachmentvot pas inquiri move httpstcojrthl91xum via youtub,0.0,Neutral
291,told perfect call truth wh advisor warn presid someth wro httpstco3iwimggk2h,1.0,Positive
292,pas resolut lay formal rule probe httpstcolehom0gsdu httpstcouilgagkwm0,0.0,Neutral
293,littl acorn jr man born home plate certain hit 5run homer hisself sad ukrain httpstcorvbzpbgnqv,-0.14285714285714285,Negative
294,brilliant look like take bite httpstcopqnzjj7bup,0.9,Positive
295,talkstreaml rush limbaugh stream live httpstcocvhzjbee0h rushlimbaugh eib tcot talkradio talkright gop,0.13636363636363635,Positive
296,wapo articl white offici ramp new tax cut talk seek sharp contrast 2020 httpstco5aqopengd2,0.0037878787878787845,Positive
297,worst coup attempt russiag morph ukraineg stephen cohen ukrain vital secur httpstcor118vzre4h,-0.45,Negative
298,alim20698746 blame everi lame person vote wasnt bright enough inform real purpos moder,0.10000000000000002,Positive
299,2021_free mental unstabl protect mental unstabl could possibl go wrong httpstcoxvsrco3fyk,-0.2333333333333333,Negative
